,Movement,Time_in,timesfm,timesfm-q-0.1,timesfm-q-0.2,timesfm-q-0.3,timesfm-q-0.4,timesfm-q-0.5,timesfm-q-0.6,timesfm-q-0.7,timesfm-q-0.8,timesfm-q-0.9
105,EBR,2023-04-06 02:15:00-04:00,0.017582012,0.004201356,0.006423188,0.010417126,0.01114866,0.017582012,0.016214123,0.01474474,0.019508375,0.03762456
106,EBR,2023-04-06 02:30:00-04:00,0.016273163,0.008505181,0.010375964,0.0075510056,0.01792898,0.016273163,0.019596199,0.016890902,0.022959119,0.04301221
107,EBR,2023-04-06 02:45:00-04:00,0.0067724865,0.0008015981,0.00080527924,0.004393503,0.007045213,0.0067724865,0.015799183,0.014270543,0.01984668,0.051057875
108,EBR,2023-04-06 03:00:00-04:00,0.010387992,0.0026907958,0.009002093,0.016244333,0.014070987,0.010387992,0.023038128,0.02717829,0.026808456,0.066016346
109,EBR,2023-04-06 03:15:00-04:00,0.014644381,0.0,0.006104153,0.003773544,0.016792122,0.014644381,0.022038251,0.017932292,0.022752512,0.075832196
110,EBR,2023-04-06 03:30:00-04:00,0.01734771,0.0,6.451609e-05,0.0021012514,0.011143292,0.01734771,0.021120632,0.018131185,0.032175332,0.079422675
111,EBR,2023-04-06 03:45:00-04:00,0.012565319,0.00036382023,0.0,0.003938078,0.015393032,0.012565319,0.017782487,0.015663518,0.02419279,0.077244915
112,EBR,2023-04-06 04:00:00-04:00,0.016992226,0.0,0.005923652,0.009907867,0.015704175,0.016992226,0.019459967,0.015329769,0.02692404,0.09191151
113,EBR,2023-04-06 04:15:00-04:00,0.014555283,0.0,0.008771628,0.009592924,0.0064639845,0.014555283,0.017757557,0.012773923,0.027808934,0.09606198
114,EBR,2023-04-06 04:30:00-04:00,0.014226588,0.0,0.0,0.006803577,0.012898937,0.014226588,0.024861092,0.021810485,0.030034497,0.11773796
115,EBR,2023-04-06 04:45:00-04:00,0.0076635177,0.0,0.004930866,0.0,0.00718084,0.0076635177,0.020940484,0.022176221,0.03416607,0.14592569
